,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cockburn town,21.4612,-71.1419,77.95,72,0,9.44,TC,1643485578
1,ucluelet,48.9329,-125.5528,43.09,89,100,1.01,CA,1643485562
2,dingle,10.9995,122.6711,74.71,91,9,1.57,PH,1643485640
3,casa nova,-9.4167,-41.1333,82.38,74,99,6.58,BR,1643485640
4,terrace,54.5163,-128.6035,39.11,93,100,21.85,CA,1643485514
5,rikitea,-23.1203,-134.9692,77.32,74,100,11.43,PF,1643485641
6,bluff,-46.6,168.3333,61.81,89,100,6.62,NZ,1643485641
7,kodiak,57.79,-152.4072,31.51,64,75,19.57,US,1643485642
8,hobart,-42.8794,147.3294,60.26,77,100,1.99,AU,1643485385
9,sada,43.3562,-8.258,55.58,76,0,1.14,ES,1643485643
10,upernavik,72.7868,-56.1549,1.89,93,100,5.35,GL,1643485643
11,luderitz,-26.6481,15.1594,67.86,79,63,9.46,NA,1643485644
12,georgetown,5.4112,100.3354,83.89,88,20,1.99,MY,1643485558
13,cidreira,-30.1811,-50.2056,74.52,56,78,13.35,BR,1643485363
14,hata,26.7461,83.7403,49.62,74,0,7.16,IN,1643485644
15,mataura,-46.1927,168.8643,61.48,95,100,1.83,NZ,1643485645
16,puerto leguizamo,-0.1934,-74.7819,93.67,33,95,3.62,CO,1643485645
17,nishihara,26.1842,127.7558,61.88,94,100,8.05,JP,1643485645
18,ushuaia,-54.8,-68.3,49.66,87,100,20.71,AR,1643485353
19,severodvinsk,64.5635,39.8302,17.71,93,91,10.38,RU,1643485441
20,kholm,59.2667,32.85,14.43,96,100,9.8,RU,1643485355
21,tautira,-17.7333,-149.15,80.62,75,100,14.36,PF,1643485646
22,hunterville,-39.9333,175.5667,66.7,54,1,4.5,NZ,1643485646
23,ancud,-41.8697,-73.8203,70.43,76,37,12.37,CL,1643485599
24,ostrovnoy,68.0531,39.5131,13.37,89,100,15.12,RU,1643485647
25,mazyr,52.0495,29.2456,21.43,94,98,10.25,BY,1643485647
26,staryy nadym,65.6118,72.6842,-7.92,96,100,8.93,RU,1643485648
27,vanimo,-2.6741,141.3028,75.97,89,100,7.85,PG,1643485648
28,arraial do cabo,-22.9661,-42.0278,84.16,78,40,12.66,BR,1643485649
29,toppenish,46.3774,-120.3087,33.26,81,80,1.97,US,1643485649
30,hithadhoo,-0.6,73.0833,81.05,66,94,2.51,MV,1643485649
31,busselton,-33.65,115.3333,67.05,91,2,15.19,AU,1643485650
32,cape town,-33.9258,18.4232,69.12,75,0,5.99,ZA,1643485637
33,bredasdorp,-34.5322,20.0403,66.27,71,5,11.68,ZA,1643485650
34,nikolskoye,59.7035,30.7861,26.71,87,100,14.23,RU,1643485651
35,ahipara,-35.1667,173.1667,64.6,73,70,6.93,NZ,1643485651
36,barrow,71.2906,-156.7887,-7.58,71,100,12.66,US,1643485651
37,qaanaaq,77.484,-69.3632,-2.47,64,100,9.69,GL,1643485652
38,kruisfontein,-34.0033,24.7314,66.88,86,0,6.64,ZA,1643485362
39,quatre cocos,-20.2078,57.7625,80.71,74,96,14.74,MU,1643485652
40,smithers,54.7804,-127.1743,37.72,75,75,6.91,CA,1643485653
41,kapaa,22.0752,-159.319,77.32,76,100,3.0,US,1643485653
42,atuona,-9.8,-139.0333,77.74,76,25,15.5,PF,1643485653
43,jamestown,42.097,-79.2353,18.3,48,20,8.01,US,1643485222
44,papara,-3.9839,-38.7273,82.8,70,100,4.88,BR,1643485654
45,muros,42.7762,-9.0603,55.9,79,14,4.43,ES,1643485654
46,lebu,-37.6167,-73.65,64.96,74,2,9.64,CL,1643485654
47,kaitangata,-46.2817,169.8464,55.89,94,100,4.43,NZ,1643485655
48,salalah,17.0151,54.0924,73.49,68,0,4.61,OM,1643485655
49,tuktoyaktuk,69.4541,-133.0374,-9.4,77,75,16.11,CA,1643485655
50,elizabeth city,36.2946,-76.2511,34.05,77,100,5.01,US,1643485716
51,codrington,-38.2667,141.9667,62.04,85,72,4.16,AU,1643485716
52,watertown,42.3709,-71.1828,21.07,89,100,8.01,US,1643485717
53,maniitsoq,65.4167,-52.9,9.46,76,100,30.29,GL,1643485717
54,avarua,-21.2078,-159.775,80.65,83,20,12.66,CK,1643485718
55,butaritari,3.0707,172.7902,81.7,77,25,19.64,KI,1643485718
56,cabo san lucas,22.8909,-109.9124,79.61,56,35,7.0,MX,1643485709
57,ribeira grande,38.5167,-28.7,59.4,67,20,9.22,PT,1643485718
58,avera,33.194,-82.5271,43.92,25,0,13.62,US,1643485719
59,moranbah,-22.0016,148.0466,70.07,88,30,8.9,AU,1643485719
60,povenets,62.8487,34.8262,13.12,95,100,11.1,RU,1643485720
61,dikson,73.5069,80.5464,2.88,93,99,21.61,RU,1643485720
62,aklavik,68.2191,-135.0107,-15.77,76,75,4.61,CA,1643485720
63,puerto ayora,-0.7393,-90.3518,80.56,70,22,9.86,EC,1643485721
64,sibolga,1.7427,98.7792,74.5,92,84,2.06,ID,1643485639
65,vardo,70.3705,31.1107,21.25,77,98,1.03,NO,1643485721
66,nanortalik,60.1432,-45.2371,19.49,68,100,12.15,GL,1643485722
67,san patricio,28.017,-97.5169,66.16,26,52,4.54,US,1643485722
68,port elizabeth,-33.918,25.5701,69.1,77,75,11.5,ZA,1643485722
69,hearst,49.6835,-83.6665,12.45,81,100,4.07,CA,1643485723
70,potamia,40.7163,24.7286,42.66,60,47,12.46,GR,1643485723
71,okha,53.5739,142.9478,-14.39,91,85,8.97,RU,1643485723
72,klaksvik,62.2266,-6.589,34.72,64,82,32.03,FO,1643485724
73,luleburgaz,41.4039,27.3592,34.97,82,98,2.77,TR,1643485724
74,san felipe,10.3399,-68.7425,83.28,54,58,9.53,VE,1643485724
75,abha,18.2164,42.5053,53.42,82,0,0.0,SA,1643485725
76,douglas,41.3,-96.167,56.75,34,0,4.0,US,1643485725
77,punta arenas,-53.15,-70.9167,55.51,44,75,19.57,CL,1643485725
78,mar del plata,-38.0023,-57.5575,86.02,89,0,21.0,AR,1643485726
79,grand gaube,-20.0064,57.6608,81.0,75,86,5.01,MU,1643485727
80,nome,64.5011,-165.4064,-12.93,70,0,5.75,US,1643485727
81,lompoc,34.6391,-120.4579,69.08,42,0,5.75,US,1643485728
82,wattegama,6.7989,81.4808,73.8,92,65,1.72,LK,1643485728
83,camocim,-2.9022,-40.8411,80.6,71,98,9.75,BR,1643485728
84,puerto madryn,-42.7692,-65.0385,80.35,38,45,11.23,AR,1643485729
85,saquena,-4.6667,-73.5167,93.24,38,51,7.31,PE,1643485729
86,varkkallai,8.7341,76.7067,82.18,78,55,7.36,IN,1643485730
87,palauig,15.435,119.9045,78.89,79,10,5.01,PH,1643485730
88,victoria,22.2855,114.1577,62.26,82,100,13.0,HK,1643485565
89,castro,-24.7911,-50.0119,60.46,98,100,5.75,BR,1643485637
90,yellowknife,62.456,-114.3525,-4.59,83,100,8.05,CA,1643485731
91,marzuq,14.4,46.4667,62.42,77,10,4.65,YE,1643485731
92,lawton,34.6087,-98.3903,63.93,23,0,12.66,US,1643485463
93,albany,42.6001,-73.9662,16.36,64,100,10.0,US,1643485260
94,hermanus,-34.4187,19.2345,66.79,75,2,14.29,ZA,1643485732
95,xining,36.6167,101.7667,11.16,59,7,2.24,CN,1643485732
96,saskylakh,71.9167,114.0833,-22.13,99,99,3.42,RU,1643485732
97,strezhevoy,60.7333,77.5889,-2.02,99,100,3.98,RU,1643485733
98,barrhead,55.7992,-4.3929,42.66,76,15,5.99,GB,1643485733
99,geraldton,-28.7667,114.6,70.21,88,0,4.61,AU,1643485651
100,tasiilaq,65.6145,-37.6368,12.36,77,91,5.77,GL,1643485794
101,ziro,27.6333,93.8333,29.61,85,0,2.01,IN,1643485794
102,beringovskiy,63.05,179.3167,-11.31,100,99,4.05,RU,1643485795
103,sun valley,39.5963,-119.776,51.69,40,20,1.99,US,1643485795
104,tsaratanana,-16.7833,47.65,74.59,85,96,1.43,MG,1643485795
105,ponta do sol,32.6667,-17.1,65.03,66,20,4.81,PT,1643485796
106,camacha,33.0833,-16.3333,61.56,77,0,11.5,PT,1643485796
107,east london,-33.0153,27.9116,71.87,80,83,11.77,ZA,1643485581
108,mandera,3.9366,41.867,83.59,22,2,9.06,KE,1643485796
109,khani,41.9563,42.9566,24.37,84,93,6.11,GE,1643485672
110,lagoa,39.05,-27.9833,58.05,75,71,12.08,PT,1643485797
111,cherskiy,68.75,161.3,-29.31,100,30,1.07,RU,1643485797
112,provideniya,64.3833,-173.3,2.59,86,4,5.21,RU,1643485798
113,thompson,55.7435,-97.8558,-0.24,71,40,6.91,CA,1643485798
114,saint-philippe,-21.3585,55.7679,76.59,84,57,9.55,RE,1643485799
115,sinnamary,5.3833,-52.95,80.17,74,74,7.99,GF,1643485799
116,new amsterdam,6.25,-57.5167,80.78,67,37,7.14,GY,1643485799
117,wakkanai,45.4094,141.6739,18.91,69,100,20.65,JP,1643485800
118,kuopio,62.8924,27.677,24.75,93,100,18.41,FI,1643485688
119,hilo,19.7297,-155.09,75.79,67,20,6.91,US,1643485800
120,shieli,44.1667,66.75,25.54,92,88,6.46,KZ,1643485801
121,esperance,-33.8667,121.9,64.24,78,0,14.38,AU,1643485802
122,christchurch,-43.5333,172.6333,65.91,82,20,3.0,NZ,1643485552
123,oussouye,12.485,-16.5469,86.18,62,96,14.16,SN,1643485803
124,new norfolk,-42.7826,147.0587,60.3,67,23,1.32,AU,1643485803
125,hailey,43.5196,-114.3153,26.46,46,0,5.75,US,1643485803
126,san andres,12.5847,-81.7006,84.22,65,20,6.91,CO,1643485804
127,husavik,66.0449,-17.3389,28.31,77,23,21.14,IS,1643485804
128,ishigaki,24.3448,124.1572,69.33,84,100,30.22,JP,1643485804
129,omaruru,-21.4333,15.9333,75.56,51,88,8.48,NA,1643485805
130,mahebourg,-20.4081,57.7,80.89,78,40,8.05,MU,1643485805
131,nouadhibou,20.931,-17.0347,66.18,68,100,16.11,MR,1643485728
132,kupang,-10.1667,123.5833,79.75,86,100,12.97,ID,1643485806
133,katsuura,35.1333,140.3,41.14,84,32,13.96,JP,1643485807
134,los llanos de aridane,28.6585,-17.9182,60.55,79,12,3.0,ES,1643485672
135,kayerkan,69.3497,87.7602,-1.43,93,100,8.19,RU,1643485808
136,koumac,-20.5667,164.2833,80.1,84,38,4.21,NC,1643485808
137,sarny,51.338,26.6019,30.33,92,100,15.3,UA,1643485808
138,juneau,58.3019,-134.4197,42.22,87,100,23.02,US,1643485512
139,buin,-33.7333,-70.75,82.06,33,0,14.03,CL,1643485809
140,dicabisagan,17.0818,122.4157,76.14,88,10,3.98,PH,1643485809
141,bonavista,48.6499,-53.1147,34.12,87,100,18.34,CA,1643485809
142,saint-pierre,-21.3393,55.4781,76.68,78,20,4.61,RE,1643485810
143,vaini,-21.2,-175.2,81.45,78,100,17.02,TO,1643485810
144,severo-kurilsk,50.6789,156.125,23.45,77,87,19.37,RU,1643485810
145,byron bay,-28.65,153.6167,71.55,84,65,8.14,AU,1643485675
146,vao,-22.6667,167.4833,78.28,87,99,10.42,NC,1643485811
147,khatanga,71.9667,102.5,-4.59,99,100,5.23,RU,1643485812
148,san jose,37.3394,-121.895,63.99,52,0,1.01,US,1643485523
149,saurimo,-9.6608,20.3916,65.88,93,100,4.18,AO,1643485812
150,darnetal,49.4453,1.1514,50.18,90,100,12.66,FR,1643485872
151,san quintin,30.4833,-115.95,66.83,33,5,4.43,MX,1643485873
152,plainview,40.7765,-73.4673,19.49,79,100,11.99,US,1643485873
153,ingham,42.6,-84.3833,22.84,65,100,6.91,US,1643485874
154,airai,-8.9266,125.4092,60.64,93,100,3.42,TL,1643485874
155,coahuayana,18.7333,-103.6833,85.48,39,0,7.63,MX,1643485679
156,yurginskoye,56.8189,67.3921,8.17,92,100,5.86,RU,1643485874
157,cedar mill,45.5248,-122.8109,49.17,61,0,1.99,US,1643485875
158,richards bay,-28.783,32.0377,71.6,83,62,4.14,ZA,1643485725
159,susangerd,31.5608,48.1831,44.62,47,0,9.19,IR,1643485875
160,sucevita,47.7833,25.7167,26.44,78,20,10.09,RO,1643485875
161,longyearbyen,78.2186,15.6401,8.44,66,0,17.27,SJ,1643485876
162,floro,61.5996,5.0328,40.96,60,75,42.57,NO,1643485876
163,lorengau,-2.0226,147.2712,80.15,81,98,7.65,PG,1643485877
164,vestmannaeyjar,63.4427,-20.2734,40.28,67,100,18.39,IS,1643485634
165,kaiyuan,23.6977,103.3037,47.64,88,0,3.49,CN,1643485877
166,puerto quijarro,-17.7833,-57.7667,79.7,83,89,2.75,BO,1643485878
167,shache,38.4167,77.2406,26.71,43,14,2.73,CN,1643485878
168,rio verde de mato grosso,-18.9181,-54.8442,77.95,84,79,8.77,BR,1643485776
169,waddan,29.1614,16.139,49.42,28,0,7.63,LY,1643485878
170,elliot,-31.3333,27.85,56.39,94,2,2.55,ZA,1643485879
171,bambanglipuro,-7.95,110.2833,77.72,86,100,3.87,ID,1643485879
172,merauke,-8.4667,140.3333,80.6,77,100,8.84,ID,1643485879
173,kang,-23.6752,22.7876,73.54,67,90,14.61,BW,1643485880
174,sao filipe,14.8961,-24.4956,71.11,71,100,12.57,CV,1643485880
175,sioux lookout,50.1001,-91.917,8.98,78,100,5.75,CA,1643485881
176,chapais,49.7834,-74.8492,-4.22,77,6,4.14,CA,1643485668
177,hasaki,35.7333,140.8333,30.6,70,53,15.93,JP,1643485881
178,ola,59.5833,151.2833,9.63,79,100,12.97,RU,1643485882
179,tual,-5.6667,132.75,83.53,75,100,13.51,ID,1643485882
180,nkan,0.3833,9.7833,77.95,87,100,3.44,GA,1643485882
181,hluti,-27.2167,31.6167,66.51,96,100,2.51,SZ,1643485883
182,kumluca,36.3703,30.2869,45.68,60,100,7.05,TR,1643485659
183,sola,-13.8833,167.55,82.96,77,100,22.46,VU,1643485737
184,itarema,-2.9248,-39.9167,81.75,65,94,10.36,BR,1643485883
185,algeciras,36.1333,-5.4505,58.77,71,3,21.09,ES,1643485884
186,ohara,35.25,140.3833,40.96,80,28,12.17,JP,1643485884
187,acajutla,13.5928,-89.8275,89.8,51,22,10.2,SV,1643485732
188,bozhou,33.8772,115.7703,31.64,68,11,4.45,CN,1643485885
189,port alfred,-33.5906,26.891,70.25,80,46,12.55,ZA,1643485885
190,port blair,11.6667,92.75,77.04,88,75,2.3,IN,1643485885
191,guider,9.9342,13.9486,74.7,15,45,7.96,CM,1643485886
192,hirara,24.8,125.2833,69.51,79,100,24.34,JP,1643485886
193,iracoubo,5.4802,-53.2011,79.92,75,91,8.39,GF,1643485886
194,cayenne,4.9333,-52.3333,82.44,85,75,1.99,GF,1643485887
195,songea,-10.6833,35.65,61.77,98,76,0.67,TZ,1643485887
196,fortuna,40.5982,-124.1573,61.93,56,0,4.0,US,1643485888
197,jiuquan,39.7432,98.5174,14.79,59,6,5.23,CN,1643485888
198,westport,41.1415,-73.3579,19.42,87,100,7.0,US,1643485663
199,nioro,13.35,-15.75,86.99,14,84,5.88,GM,1643485888
200,bagdarin,54.4333,113.6,-15.34,95,10,4.09,RU,1643485949
201,clyde river,70.4692,-68.5914,-7.37,64,100,14.97,CA,1643485737
202,carnarvon,-24.8667,113.6333,75.27,88,78,9.22,AU,1643485949
203,murgud,16.4,74.2,64.13,42,9,3.6,IN,1643485950
204,kavieng,-2.5744,150.7967,81.25,77,100,7.58,PG,1643485950
205,florianopolis,-27.6146,-48.5012,73.62,82,75,1.01,BR,1643485950
206,terekli-mekteb,44.1671,45.8698,35.13,87,99,9.42,RU,1643485951
207,ilulissat,69.2167,-51.1,5.16,79,100,15.59,GL,1643485951
208,norman wells,65.282,-126.8329,-25.56,68,20,2.3,CA,1643485952
209,aviles,43.5547,-5.9248,49.93,87,75,8.05,ES,1643485952
210,mehamn,71.0357,27.8492,21.15,79,75,11.5,NO,1643485952
211,ciudad bolivar,8.1222,-63.5497,93.24,28,25,10.22,VE,1643485953
212,bambous virieux,-20.3428,57.7575,80.85,78,40,8.05,MU,1643485953
213,vlore,40.4667,19.4897,42.35,62,0,9.55,AL,1643485953
214,sambava,-14.2667,50.1667,77.18,86,17,11.21,MG,1643485954
215,soyo,-6.1349,12.3689,79.29,87,95,6.71,AO,1643485954
216,colon,9.3592,-79.9014,92.01,43,3,11.99,PA,1643485954
217,leningradskiy,69.3833,178.4167,-9.15,89,41,5.06,RU,1643485955
218,baykit,61.67,96.37,-1.16,100,99,0.96,RU,1643485955
219,canico,32.6333,-16.85,65.03,79,40,10.36,PT,1643485956
220,yatou,37.15,122.3833,28.89,52,97,10.58,CN,1643485734
221,newport,51.5877,-2.9984,46.76,78,33,7.47,GB,1643485956
222,lodja,-3.4833,23.4333,71.89,78,64,1.07,CD,1643485799
223,harper,4.375,-7.7169,80.15,85,63,7.23,LR,1643485957
224,middle island,40.8843,-72.9373,18.16,89,100,15.99,US,1643485957
225,faanui,-16.4833,-151.75,79.68,75,19,11.9,PF,1643485957
226,guerrero negro,27.9769,-114.0611,71.17,28,8,7.56,MX,1643485958
227,shakhovskaya,56.0283,35.5097,18.82,95,100,6.31,RU,1643485958
228,balkanabat,39.5108,54.3671,42.03,61,5,5.68,TM,1643485958
229,de-kastri,51.4667,140.7833,-15.7,99,86,6.06,RU,1643485959
230,constitucion,-35.3333,-72.4167,65.84,74,51,11.23,CL,1643485959
231,tigil,57.8,158.6667,27.01,73,100,15.84,RU,1643485960
232,atyrau,47.1167,51.8833,26.62,93,75,11.18,KZ,1643485960
233,torbay,47.6666,-52.7314,34.29,87,100,19.57,CA,1643485960
234,port-cartier,50.0334,-66.8654,4.75,80,100,10.29,CA,1643485961
235,jalu,29.0331,21.5482,53.56,40,0,9.8,LY,1643485961
236,rock sound,24.9,-76.2,64.24,63,100,28.52,BS,1643485961
237,bubaque,11.2833,-15.8333,78.26,71,100,20.87,GW,1643485962
238,viedma,-40.8135,-62.9967,96.44,22,47,12.03,AR,1643485962
239,tiarei,-17.5333,-149.3333,80.62,74,99,13.89,PF,1643485962
240,flagstaff,35.1981,-111.6513,51.6,22,0,3.0,US,1643485848
241,durango,24.8333,-104.8333,62.08,38,1,4.72,MX,1643485793
242,makakilo city,21.3469,-158.0858,76.6,61,0,3.44,US,1643485963
243,shama,33.6102,104.2852,19.67,79,100,1.19,CN,1643485963
244,tula,54.2044,37.6111,20.39,97,91,6.2,RU,1643485964
245,bethel,41.3712,-73.414,16.7,75,100,8.01,US,1643485964
246,namatanai,-3.6667,152.4333,79.48,81,100,2.26,PG,1643485964
247,chokurdakh,70.6333,147.9167,-12.98,86,100,1.5,RU,1643485965
248,neyyattinkara,8.4,77.0833,82.26,83,64,4.12,IN,1643485965
249,mount gambier,-37.8333,140.7667,62.51,88,100,9.22,AU,1643485961
250,jieshi,22.8134,115.8257,56.95,72,88,13.44,CN,1643486025
251,havre,49.5833,0.3333,49.26,100,100,17.27,FR,1643486026
252,ascension,30.2169,-90.9001,55.02,22,0,3.44,US,1643486026
253,pithoro,25.5167,69.3833,62.8,31,0,4.76,PK,1643486026
254,torrevieja,37.9787,-0.6822,54.34,74,0,1.23,ES,1643485743
255,abhar,36.1468,49.218,25.03,76,1,7.14,IR,1643486027
256,melo,-32.3667,-54.1833,80.76,39,1,12.15,UY,1643486027
257,kingsport,36.5484,-82.5618,30.09,32,0,1.99,US,1643485817
258,atbasar,51.8,68.3333,9.01,97,95,4.61,KZ,1643486028
259,mataram,-8.5833,116.1167,76.01,88,100,2.93,ID,1643486028
260,sitka,57.0531,-135.33,36.59,95,100,9.89,US,1643486028
261,beirut,33.8889,35.4944,50.74,71,40,4.61,LB,1643485732
262,faya,18.3851,42.4509,53.71,69,0,5.53,SA,1643486029
263,higashine,38.4389,140.4006,24.89,94,100,6.51,JP,1643486029
264,mogadishu,2.0371,45.3438,77.4,81,15,22.5,SO,1643486029
265,chuy,-33.6971,-53.4616,75.65,57,19,11.23,UY,1643486030
266,port lincoln,-34.7333,135.8667,64.36,89,32,13.69,AU,1643486030
267,shimoda,34.6667,138.95,39.11,70,61,8.72,JP,1643486031
268,bilma,18.6853,12.9164,61.99,17,0,9.8,NE,1643486031
269,broken hill,-31.95,141.4333,74.91,60,2,9.22,AU,1643486031
270,hamilton,39.1834,-84.5333,27.21,58,100,1.99,US,1643485965
271,sao jose da coroa grande,-8.8978,-35.1478,77.38,71,100,4.61,BR,1643486032
272,leh,34.1667,77.5833,-0.71,95,99,2.15,IN,1643486032
273,coquimbo,-29.9533,-71.3436,67.73,72,20,14.97,CL,1643485909
274,derzhavinsk,51.1,66.3167,20.66,94,100,12.55,KZ,1643486033
275,gladstone,-23.85,151.25,76.93,73,100,10.36,AU,1643486033
276,kanchipuram,12.8333,79.7167,78.13,82,75,8.3,IN,1643486033
277,borodino,55.9106,94.8983,-15.57,100,90,3.13,RU,1643486034
278,port hedland,-20.3167,118.5667,82.45,74,100,9.22,AU,1643486034
279,kothapet,19.3333,79.4833,59.79,32,0,3.09,IN,1643486034
280,neyshabur,36.2133,58.7958,38.8,35,100,1.43,IR,1643486035
281,gorontalo,0.5412,123.0595,74.12,94,99,3.33,ID,1643486035
282,vostok,46.4856,135.8833,-17.19,99,100,3.8,RU,1643485959
