,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,huaura,-11.07,-77.5994,75.43,70,74,11.18,PE,1643486036
284,mayumba,-3.432,10.6554,77.86,89,73,3.96,GA,1643486036
285,sangar,63.9242,127.4739,-35.21,99,88,2.35,RU,1643486036
286,oksfjord,70.2396,22.3479,16.72,73,7,6.22,NO,1643486037
287,arman,59.7,150.1667,6.93,81,100,14.41,RU,1643486037
288,genhe,50.7833,121.5167,-17.88,100,28,2.08,CN,1643486038
289,lata,40.1629,-8.3327,57.61,51,0,5.06,PT,1643486038
290,yulara,-25.2406,130.9889,80.44,65,100,14.97,AU,1643486039
291,tsimlyansk,47.6461,42.1019,33.82,88,100,16.24,RU,1643486039
292,gidole,5.65,37.3667,64.53,22,21,3.02,ET,1643486039
293,havre-saint-pierre,50.2334,-63.5986,6.8,60,75,18.41,CA,1643486011
294,qui nhon,13.7667,109.2333,71.24,86,100,6.15,VN,1643486040
295,albury,-36.0833,146.9167,68.74,100,100,3.44,AU,1643486040
296,saldanha,-33.0117,17.9442,69.85,85,0,18.48,ZA,1643486041
297,aksu,41.1231,80.2644,26.98,46,100,2.3,CN,1643486041
298,asau,46.4333,26.4,27.52,89,79,7.61,RO,1643486042
299,juegang,32.3174,121.1855,36.91,87,100,8.99,CN,1643486042
300,mus,39.0,41.75,4.59,99,93,3.4,TR,1643486102
301,tromso,69.6496,18.957,23.02,54,0,6.91,NO,1643486103
302,adrar,20.5022,-10.0711,79.77,11,100,10.56,MR,1643486103
303,matehuala,23.65,-100.65,54.63,60,88,10.83,MX,1643486103
304,lima,-12.0432,-77.0282,75.45,85,0,1.99,PE,1643486104
305,jardim,-21.4803,-56.1381,90.57,44,51,2.24,BR,1643486104
306,yerbogachen,61.2767,108.0108,-25.01,100,80,3.09,RU,1643486105
307,naryan-mar,67.6713,53.087,12.99,94,100,14.74,RU,1643486105
308,tonantins,-2.8731,-67.8022,93.99,40,80,3.49,BR,1643486105
309,boksburg,-26.212,28.2596,65.77,82,100,5.86,ZA,1643485984
310,abrau-dyurso,44.69,37.59,35.06,91,100,9.75,RU,1643486106
311,yarmouth,41.7057,-70.2286,27.97,96,100,35.32,US,1643486106
312,la ronge,55.1001,-105.2842,8.85,66,100,2.3,CA,1643486106
313,killybegs,54.6333,-8.45,44.31,65,88,10.33,IE,1643486107
314,lavrentiya,65.5833,-171.0,-4.52,84,4,3.89,RU,1643486107
315,waipawa,-41.4122,175.5153,65.03,63,17,4.14,NZ,1643486108
316,carauari,-4.8828,-66.8958,79.09,87,100,1.5,BR,1643486108
317,houston,29.7633,-95.3633,65.14,35,3,1.99,US,1643485755
318,aquidauana,-20.4711,-55.7872,83.03,80,21,3.27,BR,1643486108
319,waslala,13.2333,-85.3833,86.34,36,4,9.13,NI,1643486109
320,sarangani,5.4033,125.4636,80.8,75,94,6.98,PH,1643486109
321,amazar,53.858,120.875,-10.5,95,7,4.38,RU,1643486109
322,bad windsheim,49.5,10.4167,43.77,98,100,21.85,DE,1643486110
323,hammerfest,70.6634,23.6821,16.25,86,40,0.0,NO,1643486110
324,terrace bay,48.7834,-87.1,17.22,84,100,2.21,CA,1643485959
325,kalmunai,7.4167,81.8167,77.09,84,24,1.34,LK,1643486111
326,alice springs,-23.7,133.8833,74.75,94,75,10.36,AU,1643486111
327,sisimiut,66.9395,-53.6735,9.19,90,100,29.71,GL,1643486111
328,aswan,24.0934,32.907,56.5,30,0,8.05,EG,1643486112
329,isla vista,34.4133,-119.861,69.35,31,100,1.01,US,1643486112
330,metro,-5.1131,105.3067,75.07,92,100,3.06,ID,1643486113
331,jimo,36.3897,120.4622,20.98,63,99,2.24,CN,1643486113
332,leninskoye,41.7589,69.3864,31.93,78,81,5.03,KZ,1643486113
333,raudeberg,61.9875,5.1352,39.87,95,100,46.8,NO,1643486114
334,lashio,22.9333,97.75,45.93,80,0,1.19,MM,1643486114
335,goure,13.9835,10.2704,69.03,12,0,10.16,NE,1643486115
336,kutum,14.2,24.6667,56.66,16,29,10.07,SD,1643486115
337,sorland,67.667,12.6934,32.68,77,100,16.4,NO,1643486115
338,lasa,46.6166,10.7002,34.29,60,5,8.63,IT,1643486116
339,moindou,-21.6924,165.677,75.15,84,60,7.16,NC,1643486116
340,russell,32.3502,-85.1999,42.4,21,0,13.8,US,1643486116
341,cerignola,41.264,15.9005,48.56,70,0,7.23,IT,1643486117
342,mildura,-34.2,142.15,67.96,77,0,10.36,AU,1643486117
343,camopi,3.1655,-52.3158,76.17,95,75,3.13,GF,1643486118
344,mao,39.8885,4.2658,45.16,93,0,5.75,ES,1643486118
345,pedasi,7.5333,-80.0333,81.64,69,7,13.24,PA,1643486118
346,pilot butte,50.4668,-104.4178,24.78,78,40,8.05,CA,1643486119
347,guzelyurt,38.2772,34.3719,-1.41,67,100,4.59,TR,1643486119
348,haines junction,60.7522,-137.5108,12.15,67,99,12.66,CA,1643486119
349,erenhot,43.6475,111.9767,6.8,88,100,7.94,CN,1643486120
350,luba,3.4568,8.5547,80.49,77,83,8.41,GQ,1643486180
351,dire dawa,9.5931,41.8661,65.46,53,7,1.21,ET,1643486180
352,kendari,-3.945,122.4989,75.27,91,100,2.82,ID,1643486181
353,padang,-0.9492,100.3543,76.91,90,77,3.09,ID,1643486181
354,puro,12.4841,123.3827,77.86,83,91,3.2,PH,1643486181
355,oga,46.4631,10.347,27.68,62,3,6.53,IT,1643486182
356,te anau,-45.4167,167.7167,57.4,89,100,1.74,NZ,1643486182
357,umm lajj,25.0213,37.2685,63.66,48,0,11.54,SA,1643486183
358,korla,41.7597,86.1469,23.58,55,100,4.76,CN,1643486183
359,kananga,-5.8958,22.4178,70.88,88,100,0.31,CD,1643486183
360,pouebo,-20.4,164.5667,78.66,84,13,3.94,NC,1643486184
361,kashin,57.3592,37.6081,7.61,99,99,2.75,RU,1643486184
362,sao paulo de olivenca,-3.3783,-68.8725,93.43,37,53,5.5,BR,1643486184
363,narsaq,60.9167,-46.05,9.32,94,99,3.78,GL,1643486185
364,dera ghazi khan,30.0561,70.6348,56.71,33,17,6.04,PK,1643486185
365,fairbanks,64.8378,-147.7164,-14.98,66,0,0.0,US,1643486185
366,camapua,-19.5314,-54.0439,77.52,84,91,9.93,BR,1643486186
367,namibe,-15.1961,12.1522,72.39,77,100,6.76,AO,1643486186
368,baghdad,33.3406,44.4009,46.31,57,0,2.3,IQ,1643486159
369,ketchikan,55.3422,-131.6461,42.78,96,100,6.22,US,1643486187
370,iquique,-20.2208,-70.1431,73.44,73,42,3.24,CL,1643485909
371,boende,-0.2167,20.8667,76.3,44,11,2.33,CD,1643486187
372,port hardy,50.6996,-127.4199,46.76,87,100,18.41,CA,1643486187
373,pandan,14.0453,124.1694,77.04,89,22,5.82,PH,1643486188
374,shingu,33.7333,135.9833,38.01,74,94,6.69,JP,1643486188
375,rafaela,-31.2503,-61.4867,90.0,30,0,4.0,AR,1643486189
376,buraydah,26.326,43.975,54.05,35,0,17.81,SA,1643486189
377,gariaband,20.635,82.0614,52.38,40,3,3.0,IN,1643486189
378,abeche,13.8292,20.8324,68.79,13,4,10.42,TD,1643486190
379,williams lake,52.1415,-122.1445,31.57,60,100,1.99,CA,1643486190
380,general macarthur,11.2464,125.5394,74.89,96,66,0.83,PH,1643486190
381,laguna,38.421,-121.4238,66.34,60,40,1.01,US,1643486080
382,barreirinhas,-2.7469,-42.8264,78.66,77,100,5.57,BR,1643486191
383,petropavl,54.8753,69.1628,3.45,91,100,5.99,KZ,1643486191
384,deputatskiy,69.3,139.9,-18.67,87,100,2.06,RU,1643486191
385,khotyn,48.4833,26.5,25.21,80,65,8.37,UA,1643486192
386,zhigansk,66.7697,123.3711,-28.86,100,100,2.48,RU,1643486192
387,san marcos,33.1434,-117.1661,69.53,32,100,1.01,US,1643486192
388,qinzhou,21.95,108.6167,48.69,68,100,14.7,CN,1643486193
389,tuatapere,-46.1333,167.6833,57.42,93,100,4.59,NZ,1643486193
390,boyolangu,-8.1181,111.8935,76.71,90,100,2.53,ID,1643486193
391,kargasok,59.0556,80.8572,-5.8,100,98,4.54,RU,1643486194
392,inhambane,-23.865,35.3833,77.0,83,20,3.0,MZ,1643486194
393,klimovo,52.3805,32.1923,24.78,95,100,8.59,RU,1643486195
394,petropavlovsk-kamchatskiy,53.0452,158.6483,18.19,93,75,4.47,RU,1643486195
395,inirida,3.8653,-67.9239,93.78,30,91,0.65,CO,1643486195
396,vikhorevka,56.1201,101.1636,-6.21,100,81,1.5,RU,1643486196
397,santa maria,-29.6842,-53.8069,81.7,44,40,17.27,BR,1643486138
398,lalibela,12.0333,39.0333,58.6,59,3,8.23,ET,1643486197
399,iqaluit,63.7506,-68.5145,-7.87,59,100,4.61,CA,1643486197
400,souillac,-20.5167,57.5167,80.98,78,40,8.05,MU,1643486257
401,yarovoye,52.9273,78.58,2.91,81,76,11.41,RU,1643486258
402,yermakovskoye,53.2831,92.4003,-2.33,94,100,3.15,RU,1643486258
403,caravelas,-17.7125,-39.2481,82.29,73,0,10.07,BR,1643486258
404,soe,-9.8607,124.284,66.87,92,100,4.52,ID,1643486259
405,pangkalanbuun,-2.6833,111.6167,74.79,94,100,0.85,ID,1643486259
406,hofn,64.2539,-15.2082,24.82,58,0,5.75,IS,1643486259
407,saint george,37.1041,-113.5841,63.07,20,0,3.0,US,1643485978
408,moron,-34.6534,-58.6198,84.99,50,40,8.61,AR,1643486260
409,belaya gora,68.5333,146.4167,-12.59,99,100,1.57,RU,1643485969
410,vraca,43.8422,18.3955,20.12,92,0,3.0,BA,1643486260
411,campi bisenzio,43.8246,11.1324,48.81,77,20,5.75,IT,1643486261
412,catamarca,-28.4696,-65.7852,86.05,51,63,8.28,AR,1643486154
413,zyryanka,65.75,150.85,-21.21,100,90,1.32,RU,1643486261
414,saint anthony,45.0205,-93.218,28.24,61,100,5.01,US,1643486262
415,plettenberg bay,-34.0527,23.3716,65.37,90,7,6.26,ZA,1643486262
416,tiksi,71.6872,128.8694,-8.52,99,53,4.25,RU,1643486262
417,kozhva,65.1073,57.0459,12.51,91,100,11.65,RU,1643486263
418,kargil,34.5667,76.1,-4.5,99,98,2.28,IN,1643486263
419,tullahoma,35.362,-86.2094,33.08,45,0,5.75,US,1643486263
420,myitkyina,25.3833,97.4,50.5,76,1,2.57,MM,1643486264
421,yumen,40.2833,97.2,14.58,60,0,5.5,CN,1643486264
422,baoro,5.6667,15.9667,71.49,24,99,5.19,CF,1643486264
423,ilebo,-4.3167,20.5833,73.09,79,100,1.41,CD,1643486265
424,port keats,-14.25,129.55,81.18,84,100,18.16,AU,1643486265
425,talnakh,69.4865,88.3972,-0.65,97,100,9.46,RU,1643486265
426,alihe,50.5667,123.7167,-2.78,89,10,4.43,CN,1643486266
427,mandal,25.45,74.5667,58.01,29,0,5.41,IN,1643486266
428,karratha,-20.7377,116.8463,80.98,62,68,16.33,AU,1643486267
429,port-gentil,-0.7193,8.7815,80.56,89,40,8.05,GA,1643486267
430,tambovka,50.0969,128.0489,1.51,100,30,5.08,RU,1643486267
431,oriximina,-1.7656,-55.8661,74.84,96,100,4.65,BR,1643486190
432,meulaboh,4.1363,96.1285,77.63,88,89,2.86,ID,1643486268
433,paamiut,61.994,-49.6678,16.52,76,100,24.67,GL,1643486268
434,kerchevskiy,59.946,56.2884,10.76,96,100,3.4,RU,1643486268
435,tyrma,50.0833,132.1667,-32.08,100,80,1.25,RU,1643486269
436,pahrump,36.2083,-115.9839,58.75,13,91,1.99,US,1643486269
437,kentville,45.0835,-64.4988,29.79,94,100,18.41,CA,1643486269
438,filingue,14.3521,3.3168,73.74,13,47,11.18,NE,1643486270
439,dhidhdhoo,6.8833,73.1,81.95,76,81,18.45,MV,1643486270
440,acurenam,1.0322,10.6488,71.51,93,100,6.13,GQ,1643486270
441,vagay,57.9375,69.0217,8.01,94,100,5.01,RU,1643486271
442,bilibino,68.0546,166.4372,-4.83,87,100,3.27,RU,1643486271
443,bar harbor,44.3876,-68.2039,14.99,82,100,21.99,US,1643486272
444,aripuana,-9.1667,-60.6333,72.54,99,100,3.36,BR,1643486272
445,glendive,47.1053,-104.7125,42.49,46,100,3.0,US,1643486272
446,dodola,6.9833,39.1833,53.98,43,40,1.45,ET,1643486273
447,olafsvik,64.8945,-23.7142,38.46,69,100,28.07,IS,1643486273
448,sibu,2.3,111.8167,77.31,100,40,0.0,MY,1643486273
449,kemijarvi,66.7131,27.4306,14.72,96,99,6.64,FI,1643486274
450,bengkulu,-3.8004,102.2655,76.19,90,100,3.89,ID,1643486334
451,labuan,5.2767,115.2417,79.16,94,20,0.0,MY,1643486334
452,carutapera,-1.195,-46.02,76.06,87,100,3.53,BR,1643486335
453,jijiga,9.35,42.8,59.38,54,5,7.31,ET,1643486335
454,ulaangom,49.9811,92.0667,-21.37,95,100,2.53,MN,1643486335
455,orsk,51.2049,58.5668,0.84,85,0,11.18,RU,1643486336
456,ales,44.1333,4.0833,44.26,71,15,6.04,FR,1643486336
457,voh,-20.9667,164.7,79.7,84,74,2.59,NC,1643486336
458,ternate,0.8,127.4,79.05,83,96,5.79,ID,1643486337
459,diego de almagro,-26.3667,-70.05,79.57,24,0,14.97,CL,1643486337
460,sucua,-2.4667,-78.1667,83.14,65,40,4.61,EC,1643486337
461,parana,-31.732,-60.5238,90.57,37,0,5.23,AR,1643486338
462,sur,22.5667,59.5289,71.37,54,3,4.65,OM,1643486338
463,nevsehir,38.9167,34.6667,2.41,85,75,1.14,TR,1643486338
464,seoul,37.5683,126.9778,20.64,67,0,3.44,KR,1643486130
465,moyo,3.6609,31.7247,76.14,27,1,5.95,UG,1643486339
466,gat,31.61,34.7642,49.41,100,0,3.36,IL,1643486339
467,gao,16.6362,1.637,70.12,14,0,11.61,ML,1643486340
468,rio gallegos,-51.6226,-69.2181,59.05,47,75,21.85,AR,1643486340
469,saint-georges,12.0564,-61.7485,83.88,58,20,16.11,GD,1643486340
470,coaldale,49.7167,-112.6185,49.32,21,75,31.07,CA,1643486341
471,hambantota,6.1241,81.1185,77.99,82,73,6.51,LK,1643486341
472,zomin,39.9606,68.3958,35.83,76,100,0.45,UZ,1643486341
473,kysyl-syr,63.8986,122.7617,-15.81,100,99,4.74,RU,1643486342
474,mayo,38.8876,-76.5119,28.65,43,100,11.99,US,1643486342
475,maumere,-8.6199,122.2111,79.52,84,100,3.94,ID,1643486342
476,kajaani,64.2273,27.7285,24.85,93,100,12.66,FI,1643486343
477,alta floresta,-9.8756,-56.0861,82.22,83,40,6.91,BR,1643486343
478,singkawang,0.9,109.0,74.97,92,100,1.77,ID,1643486343
479,hinatuan,8.3722,126.3342,74.52,94,65,3.24,PH,1643486344
480,boa vista,2.8197,-60.6733,89.58,43,75,11.5,BR,1643486344
481,khuzhir,53.1939,107.3397,-1.01,92,66,1.16,RU,1643486344
482,bisho,-32.8472,27.4422,64.17,88,81,6.17,ZA,1643486345
483,severnoye,56.3491,78.3619,-5.91,96,84,5.73,RU,1643486345
484,acapulco,16.8634,-99.8901,85.51,56,10,9.64,MX,1643486151
485,fuyu,45.1833,124.8167,-5.64,94,5,3.96,CN,1643486346
486,mikkeli,61.6886,27.2723,26.71,93,100,14.97,FI,1643486346
487,caucaia,-3.7361,-38.6531,84.15,74,40,9.22,BR,1643486346
488,ayan,56.45,138.1667,0.81,80,100,20.09,RU,1643486347
489,winslow,35.0242,-110.6974,46.29,24,3,1.01,US,1643486347
490,dukat,62.55,155.55,-7.38,98,100,3.51,RU,1643486347
491,cintalapa,16.6951,-93.7272,61.92,90,100,15.52,MX,1643486348
492,fuengirola,36.54,-4.6247,60.1,53,0,2.3,ES,1643486348
493,pevek,69.7008,170.3133,-16.67,99,93,2.82,RU,1643486349
494,pangnirtung,66.1451,-65.7125,-14.8,70,100,4.61,CA,1643486349
495,kitgum,3.2783,32.8867,77.97,28,38,3.56,UG,1643486349
496,vargem grande,-3.5431,-43.9158,74.35,92,100,2.35,BR,1643486350
497,safford,32.834,-109.7076,60.51,25,18,13.11,US,1643486107
498,gumia,23.7833,85.8167,54.05,52,0,4.9,IN,1643486350
499,bosaso,11.2842,49.1816,73.09,66,100,6.82,SO,1643486350
500,mumbwa,-14.9783,27.0619,65.52,95,100,4.83,ZM,1643486412
501,dunedin,-45.8742,170.5036,61.81,89,100,1.99,NZ,1643486412
502,gornopravdinsk,60.05,69.9,5.34,97,100,3.47,RU,1643486413
503,kahului,20.8947,-156.47,77.97,72,2,5.99,US,1643486414
504,college,64.8569,-147.8028,-14.35,74,0,0.0,US,1643486279
505,puerto escondido,15.85,-97.0667,85.53,55,0,8.79,MX,1643486414
506,aykhal,66.0,111.5,-19.91,99,26,5.08,RU,1643486415
507,kenai,60.5544,-151.2583,20.14,93,100,2.95,US,1643486190
508,mareeba,-17.0,145.4333,70.52,98,97,2.21,AU,1643486417
509,lokosovo,61.1333,74.8167,1.8,97,100,4.03,RU,1643486418
510,atambua,-9.1061,124.8925,73.99,91,100,4.85,ID,1643486419
511,andenes,69.3143,16.1194,26.58,63,100,14.97,NO,1643486419
512,high level,58.5169,-117.136,12.31,92,100,5.75,CA,1643486420
513,muzhi,65.3667,64.6667,-18.76,100,97,3.13,RU,1643486421
514,pauini,-7.7136,-66.9764,86.61,59,95,2.17,BR,1643486421
515,port antonio,18.18,-76.4612,84.9,72,43,9.57,JM,1643486421
516,chicama,-7.8447,-79.1469,78.89,59,71,12.15,PE,1643486422
517,beira,-19.8436,34.8389,80.69,83,20,13.0,MZ,1643486242
518,gainesville,29.6516,-82.3248,47.08,34,0,1.01,US,1643485556
519,sakakah,29.9697,40.2064,47.03,44,0,10.4,SA,1643486423
520,mecca,21.4267,39.8261,65.93,58,26,7.9,SA,1643486228
521,san lorenzo,-25.3333,-57.5333,95.92,18,0,9.35,PY,1643486410
522,kiama,-34.6833,150.8667,73.38,87,100,1.01,AU,1643486423
523,pinega,64.7001,43.3936,11.1,97,99,6.78,RU,1643486424
524,huarmey,-10.0681,-78.1522,75.36,72,24,11.9,PE,1643486424
525,sabha,27.0377,14.4283,50.5,29,53,7.4,LY,1643486424
526,maceio,-9.6658,-35.7353,83.64,78,100,6.91,BR,1643486417
527,isangel,-19.55,169.2667,79.65,90,100,15.82,VU,1643486425
528,herat,34.5,62.0,41.43,46,0,2.95,AF,1643486425
529,conceicao do araguaia,-8.2578,-49.2647,78.6,85,83,5.59,BR,1643486426
530,sakaiminato,35.55,133.2333,42.91,52,100,10.6,JP,1643486426
531,gonen,40.1049,27.654,40.01,41,92,3.91,TR,1643486427
532,jacareacanga,-6.2222,-57.7528,75.24,92,100,2.33,BR,1643486427
533,pimentel,-6.8367,-79.9342,74.46,70,18,12.35,PE,1643486428
534,bokoro,12.3807,17.0568,70.86,13,8,12.91,TD,1643486428
535,liverpool,53.4106,-2.9779,47.14,80,75,14.0,GB,1643485658
536,vagur,61.4732,-6.8119,37.69,60,49,28.1,FO,1643486428
537,hami,42.8,93.45,20.48,46,0,4.85,CN,1643486429
538,pimenta bueno,-11.6725,-61.1936,78.19,92,99,3.09,BR,1643486429
539,dwarka,22.2394,68.9678,68.32,58,0,10.42,IN,1643486430
540,segou,13.4317,-6.2157,82.45,13,31,9.42,ML,1643486430
541,altay,47.8667,88.1167,1.85,52,18,7.74,CN,1643486431
542,jamsa,61.8642,25.19,30.15,95,100,15.79,FI,1643486431
543,san vicente de canete,-13.0751,-76.3835,74.55,71,18,8.95,PE,1643486431
544,turukhansk,65.8167,87.9833,2.21,95,100,9.95,RU,1643486432
545,chifeng,42.2683,118.9636,12.65,41,0,4.07,CN,1643486432
546,rock springs,41.5875,-109.2029,27.03,49,0,5.26,US,1643486379
547,acarau,-2.8856,-40.12,81.91,67,95,10.65,BR,1643486263
548,tazovskiy,67.4667,78.7,-14.73,100,98,6.38,RU,1643486433
549,la rioja,42.25,-2.5,45.05,46,3,5.77,ES,1643486433
550,lakes entrance,-37.8811,147.981,67.57,96,100,7.49,AU,1643486494
551,swinoujscie,53.9105,14.2471,48.61,74,99,42.66,PL,1643486494
552,katangli,51.7102,143.2326,-18.4,98,100,4.23,RU,1643486494
553,sept-iles,50.2001,-66.3821,5.05,62,100,5.01,CA,1643486454
554,tenenkou,14.4572,-4.9169,79.48,12,4,11.18,ML,1643486495
555,wetaskiwin,52.9668,-113.3687,37.56,80,98,7.83,CA,1643486468
556,general pico,-35.6566,-63.7568,88.03,37,0,10.27,AR,1643486369
557,cochrane,51.1834,-114.4687,30.61,61,100,4.92,CA,1643486495
558,bathsheba,13.2167,-59.5167,78.62,70,22,13.47,BB,1643486496
559,loa janan,-0.583,117.095,73.13,94,99,0.56,ID,1643486496
560,uarini,-2.99,-65.1083,77.74,95,100,1.39,BR,1643486496
561,paita,-5.0892,-81.1144,77.04,69,74,16.62,PE,1643486497
562,binabalian,16.4202,119.9279,79.47,83,50,12.39,PH,1643486497
563,monrovia,6.3005,-10.7969,80.37,79,100,9.01,LR,1643486473
564,lenine,45.2986,35.7771,34.23,82,85,11.83,UA,1643486498
565,misratah,32.3754,15.0925,57.15,57,100,21.21,LY,1643486498
566,hovd,48.0056,91.6419,-13.02,72,13,3.09,MN,1643486498
567,talara,-4.5772,-81.2719,75.33,72,100,12.48,PE,1643486499
568,srednekolymsk,67.45,153.6833,-23.93,100,93,4.94,RU,1643486499
